SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,LATITUDE,LONGITUDE
PAST SALE,January-3-2019,Condo/Co-op,1551 Ben Sawyer Blvd Unit 6-N,Mount Pleasant,SC,29464,705000,2,2.5,Simmons Pointe,1801,,1989,640,391,620,Sold,http://www.redfin.com/SC/Mt-Pleasant/1551-Ben-Sawyer-Blvd-29464/unit-6N/home/108087767,Charleston Trident MLS,18029647,32.7862344,-79.853132
PAST SALE,,Condo/Co-op,1551 Ben Sawyer Blvd Unit A,Mt Pleasant,SC,29464,700000,2,2.5,,1830,,1985,,383,,,http://www.redfin.com/SC/Mt-Pleasant/1551-Ben-Sawyer-Blvd-29464/unit-A/home/68671116,,,32.7862344,-79.853132
PAST SALE,,Condo/Co-op,1551 Ben Sawyer Blvd Unit B,Mt Pleasant,SC,29464,615000,2,2.5,,1978,,1988,,311,,,http://www.redfin.com/SC/Mt-Pleasant/1551-Ben-Sawyer-Blvd-29464/unit-B/home/68884484,,,32.7862344,-79.853132
PAST SALE,August-7-2019,Condo/Co-op,1551 Ben Sawyer Blvd Unit 5b,Mount Pleasant,SC,29464,615000,2,2.5,Simmons Pointe,1978,,1988,424,311,607,Sold,http://www.redfin.com/SC/Mt-Pleasant/1551-Ben-Sawyer-Blvd-29464/unit-5b/home/168621426,Charleston Trident MLS,19009028,32.7865151,-79.85214
PAST SALE,June-12-2020,Condo/Co-op,1204 Meadow Park Ln Unit B,Mount Pleasant,SC,29464,230000,2,1.5,The Meadows,1004,4356,1984,114,229,250,Sold,http://www.redfin.com/SC/Mt-Pleasant/1204-Meadow-Park-Ln-29464/unit-B/home/68680037,Charleston Trident MLS,20012982,32.797224,-79.857306
PAST SALE,June-30-2020,Condo/Co-op,1054 Anna Knapp Blvd Unit 2a,Mount Pleasant,SC,29464,190000,2,2,Hibben Ferry,1030,,1983,96,184,347,Sold,http://www.redfin.com/SC/Mt-Pleasant/1054-Anna-Knapp-Blvd-29464/unit-2A/home/68670964,Charleston Trident MLS,20013792,32.8073272,-79.8632612
PAST SALE,,Condo/Co-op,202 Ventura Pl #202,Mt Pleasant,SC,29464,73580,2,2,,1047,,1974,,70,,,http://www.redfin.com/SC/Mt-Pleasant/202-Ventura-Pl-29464/unit-202/home/108070640,,,32.837731,-79.825276
PAST SALE,May-4-2020,Condo/Co-op,1140 Hidden Cove Dr Unit B,Mount Pleasant,SC,29464,190000,2,2.5,Snee Farm Lakes,1250,,1983,153,152,316,Sold,http://www.redfin.com/SC/Mt-Pleasant/1140-Hidden-Cove-Dr-29464/unit-B/home/108070472,Charleston Trident MLS,20007316,32.845922,-79.819447
PAST SALE,October-11-2019,Condo/Co-op,2011 N Highway 17 Unit 1100e,Mount Pleasant,SC,29466,195000,2,2,The Meridian,1077,,1993,359,181,373,Sold,http://www.redfin.com/SC/Mt-Pleasant/2011-N-Hwy-17-29466/unit-1100E/home/108079772,Charleston Trident MLS,19019177,32.8342818,-79.8219704
PAST SALE,,Condo/Co-op,1481 Center St Ext #303,Mt Pleasant,SC,29464,230000,2,2,,1000,,1987,,230,,,http://www.redfin.com/SC/Mt-Pleasant/1481-Center-St-Ext-29464/unit-303/home/108180401,,,32.7912567,-79.8495286
PAST SALE,July-17-2020,Condo/Co-op,1481 Center Street St #1804,Mount Pleasant,SC,29464,247000,2,2,Bay Club Sea Lofts,1000,435,1987,79,247,347,Sold,http://www.redfin.com/SC/Mt-Pleasant/1481-Center-St-Ext-29464/unit-1804/home/108171004,Charleston Trident MLS,20008419,32.7912567,-79.8495286
PAST SALE,,Condo/Co-op,352 Sandpiper Dr #410,Mt Pleasant,SC,29464,290000,2,2,,1164,,1985,,249,,,http://www.redfin.com/SC/Mt-Pleasant/352-Sandpiper-Dr-29464/unit-410/home/68668007,,,32.808347,-79.8934515
PAST SALE,,Condo/Co-op,1313 Basildon Rd #1313,Mt Pleasant,SC,29466,220000,2,2,,1063,,2006,,207,,,http://www.redfin.com/SC/Mt-Pleasant/1313-Basildon-Rd-29466/unit-1313/home/108169748,,,32.892883,-79.799203
