Station,Address,Latitude,Longitude
Trumpington Station,"2676 Park W Blvd, Mt Pleasant, SC 29466",32.8913826,-79.7937998
Raven's Run Airport-SC65,"1535 Omni Blvd, Mt Pleasant, SC 29466",32.8246789,-79.8074723
