lin,Address,Latitude,Longitude,Price,#Bed,#Bath,Square Foot,Year Built,date1,price1,date2,price2,date3,price3,date4,price4,date5,price5,date6,price6,date7,price7,absolute
https://www.zillow.com/homedetails/2325-Chisol-Plow-St-Mount-Pleasant-SC-29466/2079671694_zpid/,2325 Chisol Plow St Mount Pleasant SC 29466,32.8446924,-79.8098041,439990,4,3,2339,2019,9/5/2020,439990,5/11/2020,15000,,,,,,,,,,,326
https://www.zillow.com/homedetails/2631-Lohr-Dr-Mount-Pleasant-SC-29466/122138609_zpid/,2631 Lohr Dr Mount Pleasant SC 29466,32.849951,-79.798293,439000,3,3,2295,2013,9/6/2020,439000,8/21/2020,442500,7/14/2020,445000,7/1/2020,450000,6/20/2020,458990,6/7/2020,459000,8/19/2013,307000,327
,,,,,,,,,,,,,,,,,,,,,,,328
https://www.zillow.com/homedetails/2656-Lohr-Dr-Mount-Pleasant-SC-29466/108866660_zpid/,2656 Lohr Dr Mount Pleasant SC 29466,32.8494295,-79.7990517,435000,4,3,2178,2010,8/26/2020,435000,8/11/2020,440000,7/2/2020,440000,5/24/2020,440000,3/11/2020,450000,10/2/2013,318000,5/18/2010,300675,329
https://www.zillow.com/homedetails/3825-Sawmill-Ct-Awendaw-SC-29429/2078066554_zpid/,3825 Sawmill Ct Awendaw SC 29429,32.8864163,-79.7392401,434903,5,3,2371,2020,9/5/2020,434903,8/28/2020,437045,,,,,,,,,,,330
https://www.zillow.com/homedetails/3765-Sawmill-Ct-Awendaw-SC-29429/2078376373_zpid/,3765 Sawmill Ct Awendaw SC 29429,32.8864163,-79.7392401,434900,5,3,2583,2020,9/5/2020,434900,8/6/2020,439900,8/5/2020,440590,,,,,,,,,331
https://www.zillow.com/homedetails/3833-Sawmill-Ct-Awendaw-SC-29429/2078066553_zpid/,3833 Sawmill Ct Awendaw SC 29429,32.8864163,-79.7392401,432803,5,3,2371,2020,9/5/2020,432803,8/28/2020,434810,,,,,,,,,,,332
https://www.zillow.com/homedetails/3826-Sawmill-Ct-Awendaw-SC-29429/2078066557_zpid/,3826 Sawmill Ct Awendaw SC 29429,32.8864163,-79.7392401,431903,4,3,2587,2020,9/5/2020,431903,8/28/2020,451160,,,,,,,,,,,333
https://www.zillow.com/homedetails/1500-Cypress-Pointe-Dr-Mount-Pleasant-SC-29466/52906640_zpid/,1500 Cypress Pointe Dr Mount Pleasant SC 29466,32.8914166,-79.8093677,431000,3,3,2200,1999,8/29/2020,431000,8/17/2020,434000,7/20/2020,439000,7/17/2020,459000,4/1/2003,213000,2/15/2002,195500,,,334
https://www.zillow.com/homedetails/1133-Rifle-Range-Rd-Mount-Pleasant-SC-29464/10926028_zpid/,1133 Rifle Range Rd Mount Pleasant SC 29464,32.7978069,-79.8508784,429999,4,3,1487,1977,6/4/2020,429999,6/4/2020,399999,7/24/2019,365000,7/18/2019,365000,5/22/2019,359000,5/18/2019,369000,5/18/2019,379000,335
https://www.zillow.com/homedetails/3769-Sawmill-Ct-Awendaw-SC-29429/2079726154_zpid/,3769 Sawmill Ct Awendaw SC 29429,32.8864163,-79.7392401,429900,5,4,2594,2020,9/5/2020,429900,7/23/2020,434900,5/7/2020,444900,,,,,,,,,336
https://www.zillow.com/homedetails/1491-Old-Williamston-Ct-Mount-Pleasant-SC-29464/10932673_zpid/,1491 Old Williamston Ct Mount Pleasant SC 29464,32.8294967,-79.8536133,427500,3,3,1484,1995,9/2/2020,427500,10/3/2017,353900,8/4/2017,353900,7/26/2017,353900,7/7/2017,359900,6/14/2017,374900,5/3/2017,365000,337
https://www.zillow.com/homedetails/555-Tea-House-Ln-Mount-Pleasant-SC-29464/10928566_zpid/,555 Tea House Ln Mount Pleasant SC 29464,32.8466335,-79.8613801,425000,4,3,1756,1996,9/6/2020,425000,9/6/2020,440000,8/28/2020,440000,8/17/2020,2650,8/12/2020,2650,8/7/2020,440000,12/15/2018,2650,338
https://www.zillow.com/homedetails/3933-Percheron-Dr-Mount-Pleasant-SC-29429/247525147_zpid/,3933 Percheron Dr Mount Pleasant SC 29429,32.8941953,-79.7447122,425000,4,3,2473,2016,8/31/2020,425000,7/28/2020,430000,3/23/2016,386000,,,,,,,,,339
https://www.zillow.com/homedetails/2596-ings-Gate-Ln-Mount-Pleasant-SC-29466/110232263_zpid/,2596 ings Gate Ln Mount Pleasant SC 29466,32.8993386,-79.8171359,425000,3,4,2368,2011,9/1/2020,425000,8/19/2020,435000,8/10/2020,435000,8/8/2020,435000,8/3/2013,2250,6/19/2013,2250,10/3/2011,296525,340
