lin1,ZestYear 2015,ZestPrice 2015,ZestYear 2016,ZestPrice 2016,ZestYear 2017,ZestPrice 2017,ZestYear 2018,ZestPrice 2018,ZestYear 2019,ZestPrice 2019,ZestYear 2020,ZestPrice 2020
https://www.zillow.com/homedetails/801-Pitt-St-Mount-Pleasant-SC-29464/10925184_zpid/,2015,529,Sold for,507,Oct 2016,529,Sep 2017,550,Sep 2018,736,Sep 2019,843
https://www.zillow.com/homedetails/175-E-Shipyard-Rd-Mount-Pleasant-SC-29464/52905322_zpid/,2015,1100,Jan 2016,1200,Jan 2017,1500,Dec 2017,1300,Jan 2019,1200,Feb 2020,1200
https://www.zillow.com/homedetails/179-E-Shipyard-Rd-Mount-Pleasant-SC-29464/52905323_zpid/,2015,1400,Jan 2016,1600,Jan 2017,1600,Dec 2017,1700,Jan 2019,1900,Listed for,1700
https://www.zillow.com/homedetails/174-N-Shelmore-Blvd-Mount-Pleasant-SC-29464/110213564_zpid/,2015,NA,,,,,,,,,,
https://www.zillow.com/homedetails/129-Ponsbury-Rd-Mount-Pleasant-SC-29464/55640731_zpid/,2015,1400,Jan 2016,1500,Jan 2017,1700,Dec 2017,1600,Jan 2019,1600,Feb 2020,1600
https://www.zillow.com/homedetails/4923-Sound-View-Dr-Mount-Pleasant-SC-29466/80211791_zpid/,2015,NA,,,,,,,,,,
https://www.zillow.com/homedetails/801-Harbour-Watch-Ct-Mount-Pleasant-SC-29464/88989825_zpid/,2015,1100,Jan 2016,1200,Jan 2017,1200,Dec 2017,1200,Jan 2019,1200,Feb 2020,1200
https://www.zillow.com/homedetails/920-Royall-Ave-Mount-Pleasant-SC-29464/10926230_zpid/,2015,1400,Jan 2016,1500,Jan 2017,1600,Dec 2017,1700,Jan 2019,1600,Feb 2020,1600
https://www.zillow.com/homedetails/58-Saturday-Rd-Mount-Pleasant-SC-29464/80212623_zpid/,2015,1100,Jan 2016,1200,Jan 2017,1400,Dec 2017,1300,Jan 2019,1400,Listed for,1400
https://www.zillow.com/homedetails/743-3rd-St-Mount-Pleasant-SC-29464/89000661_zpid/,2015,1400,Jan 2016,1800,Jan 2017,1700,Dec 2017,1600,Jan 2019,1600,Feb 2020,1700
https://www.zillow.com/homedetails/936-Mciver-St-Mount-Pleasant-SC-29464/68391500_zpid/,2015,894,Jul 2018,1200,Jul 2019,1200,Listed for,1500,,,,
https://www.zillow.com/homedetails/1162-Fulton-Hall-Ln-Mount-Pleasant-SC-29466/247524344_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/996-Law-Ln-Mount-Pleasant-SC-29464/10934211_zpid/,2015,344,Jan 2016,389,Jan 2017,335,Dec 2017,364,Jan 2019,375,Listed for,387
https://www.zillow.com/homedetails/317-Coinbow-Dr-Mount-Pleasant-SC-29464/10920899_zpid/,2015,990,Jan 2016,1100,Jan 2017,1300,Dec 2017,1300,Jan 2019,1400,Feb 2020,1600
https://www.zillow.com/homedetails/276-Copahee-Rd-Mount-Pleasant-SC-29464/10921128_zpid/,2015,1400,Dec 2017,930,Jan 2019,929,Feb 2020,1000,,,,
https://www.zillow.com/homedetails/258-Magwood-Ln-Mount-Pleasant-SC-29464/10922860_zpid/,2015,1100,Jan 2016,1100,Jan 2017,1200,Dec 2017,1500,Jan 2019,1500,Feb 2020,1300
https://www.zillow.com/homedetails/1708-Canyon-Oas-Dr-Mount-Pleasant-SC-29464/92385581_zpid/,2015,1200,Jan 2016,1200,Jan 2017,1200,Dec 2017,1200,Jan 2019,1300,Feb 2020,1300
https://www.zillow.com/homedetails/35-John-Galt-Way-Mount-Pleasant-SC-29464/88971516_zpid/,2015,1200,Jan 2016,1300,Jan 2017,1300,Dec 2017,1300,Jan 2019,1300,Feb 2020,1300
https://www.zillow.com/homedetails/2860-River-Vista-Way-Mount-Pleasant-SC-29466/110235420_zpid/,2015,1200,Jan 2016,1100,Jan 2017,1300,Dec 2017,1300,Jan 2019,1300,Listed for,1300
https://www.zillow.com/homedetails/1004-Mystic-Dr-Mount-Pleasant-SC-29464/63781559_zpid/,2015,887,Jan 2016,917,Jan 2017,986,Dec 2017,1300,Jan 2019,948,Feb 2020,985
https://www.zillow.com/homedetails/641-Palmetto-St-Mount-Pleasant-SC-29464/10924686_zpid/,2015,433,Jan 2016,464,Jan 2017,557,Dec 2017,617,Jan 2019,580,Sold for,559
https://www.zillow.com/homedetails/518-London-Bridge-Rd-Mount-Pleasant-SC-29464/10926252_zpid/,2015,465,Jan 2016,573,Jan 2017,683,Dec 2017,747,Jan 2019,776,Feb 2020,775
https://www.zillow.com/homedetails/1173-Fulton-Hall-Ln-Mount-Pleasant-SC-29466/2097923164_zpid/,2015,NA,,,,,,,,,,
https://www.zillow.com/homedetails/155-Wingo-Way-433-Mount-Pleasant-SC-29464/247522425_zpid/,2015,451,Jan 2016,379,Sold for,1200,Dec 2017,1100,Listed for,1300,,
https://www.zillow.com/homedetails/536-Island-Wal-W-Mount-Pleasant-SC-29464/68355919_zpid/,2015,1000,Jan 2016,1100,Jan 2017,1100,Dec 2017,1100,Jan 2019,1300,Feb 2020,1200
https://www.zillow.com/homedetails/2040-Ashburton-Way-Mount-Pleasant-SC-29466/82548435_zpid/,2015,1000,Sold for,1200,Jan 2017,1200,Dec 2017,1300,Jan 2019,1100,Feb 2020,1100
https://www.zillow.com/homedetails/548-Galera-Ln-Mount-Pleasant-SC-29464/102985446_zpid/,2015,1000,Jan 2016,920,Jan 2017,1000,Dec 2017,1200,Jan 2019,973,Feb 2020,1000
https://www.zillow.com/homedetails/236-S-Plaza-Ct-213-Mount-Pleasant-SC-29464/2078201972_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/1612-Marsh-Harbor-Ln-Mount-Pleasant-SC-29464/61473012_zpid/,2015,NA,,,,,,,,,,
https://www.zillow.com/homedetails/832-Marsh-Grove-Ave-Mount-Pleasant-SC-29464/88886812_zpid/,2015,918,Jan 2016,959,Jan 2017,968,Dec 2017,1100,Jan 2019,1200,Feb 2020,1100
https://www.zillow.com/homedetails/2836-Stay-Sail-Way-Mount-Pleasant-SC-29466/110231696_zpid/,2015,551,Jan 2016,676,Jan 2017,947,Dec 2017,1100,Jan 2019,1100,Feb 2020,1000
https://www.zillow.com/homedetails/3807-Sawyers-Island-Dr-Mount-Pleasant-SC-29466/2078969162_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/1408-Stratton-Pl-Mount-Pleasant-SC-29466/247532806_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/1212-Clonmel-Pl-Mount-Pleasant-SC-29464/247529010_zpid/,2015,474,,,,,,,,,,
https://www.zillow.com/homedetails/333-Evian-Way-Mount-Pleasant-SC-29464/82544431_zpid/,2015,780,Jan 2016,860,Jan 2017,838,Dec 2017,893,Jan 2019,919,Feb 2020,926
https://www.zillow.com/homedetails/425-Hobcaw-Dr-Mount-Pleasant-SC-29464/10921239_zpid/,2015,733,Jan 2016,753,Jan 2017,809,Dec 2017,891,Jan 2019,944,Feb 2020,929
https://www.zillow.com/homedetails/40-Montrose-Rd-Mount-Pleasant-SC-29464/82542813_zpid/,2015,872,Jan 2016,898,Jan 2017,955,Dec 2017,987,Jan 2019,1000,Listed for,1000
https://www.zillow.com/homedetails/2704-Oa-Manor-Dr-Mount-Pleasant-SC-29466/88986687_zpid/,2015,916,Jan 2016,938,Jan 2017,963,Dec 2017,1000,Jan 2019,1100,Feb 2020,1100
https://www.zillow.com/homedetails/1440-Madison-Ct-Mount-Pleasant-SC-29466/110231837_zpid/,2015,834,Jan 2016,875,Jan 2017,936,Dec 2017,1500,Jan 2019,1300,Listed for,1200
https://www.zillow.com/homedetails/209-N-Shelmore-Blvd-Mount-Pleasant-SC-29464/68394224_zpid/,2015,892,Jan 2016,892,Sold for,941,Dec 2017,1000,Jan 2019,1000,Feb 2020,1100
https://www.zillow.com/homedetails/238-Cooper-River-Dr-Mount-Pleasant-SC-29464/92385825_zpid/,2015,813,Jan 2016,876,Jan 2017,768,Dec 2017,918,Jan 2019,901,Feb 2020,895
https://www.zillow.com/homedetails/430-Channel-Cree-Ct-Mount-Pleasant-SC-29464/10929361_zpid/,2015,1100,Jan 2017,836,Dec 2017,860,Jan 2019,882,Feb 2020,1000,,
https://www.zillow.com/homedetails/1518-Menhaden-Ln-Mount-Pleasant-SC-29466/2090679386_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/1518-Menhaden-Ln-HOMESITE-104-Mount-Pleasant-SC-29466/2081090109_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/155-Wingo-Way-461-Mount-Pleasant-SC-29464/247523460_zpid/,2015,279,Jan 2016,314,Jan 2017,899,Dec 2017,960,Jan 2019,992,Feb 2020,975
https://www.zillow.com/homedetails/1551-Ben-Sawyer-Blvd-UNIT-6-Mount-Pleasant-SC-29464/2078020895_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/2749-Rush-Haven-Dr-Mount-Pleasant-SC-29466/80215095_zpid/,2015,862,Jan 2016,862,Jan 2017,952,Dec 2017,1000,Jan 2019,975,Feb 2020,986
https://www.zillow.com/homedetails/1551-Ben-Sawyer-Blvd-UNIT-6-Mount-Pleasant-SC-29464/2078020895_zpid/,2015,NA,Oct 2015,NA,Oct 2016,NA,Sep 2017,NA,Sep 2018,NA,Sep 2019,NA
https://www.zillow.com/homedetails/155-Wingo-Way-461-Mount-Pleasant-SC-29464/247523460_zpid/,2015,279,Jan 2016,314,Jan 2017,899,Dec 2017,960,Jan 2019,992,Feb 2020,975
https://www.zillow.com/homedetails/2749-Rush-Haven-Dr-Mount-Pleasant-SC-29466/80215095_zpid/,2015,862,Jan 2016,862,Jan 2017,952,Dec 2017,1000,Jan 2019,975,Feb 2020,986
